Disease_Name,Symptom_List
Aminophylline overdose,"['Twitching ', ' Headache ', ' Rapid heartbeat ', ' Muscle cramps ', ' Sweating ', ' Tremors ', ' Rapid heart rate ', ' Irritability, restlessness ', ' Confused thinking, poor judgment and agitation (psychosis when extreme) ', ' Increased appetite ', ' Abnormal movements ', ' Diarrhea ', ' Pounding heartbeat (palpitations) ', ' Trouble sleeping ', ' Convulsions (seizures) ', ' Muscle twitching and cramping ', ' Dizziness ', ' Increased thirst ', ' Vomiting (possibly with blood) ', ' Rapid, deep breathing ', ' Shock ', ' High or low blood pressure ', ' Nausea ', ' Fever ', ' Vomiting ', ' Breathing difficulty ', ' Low blood pressure ', ' Irritability ', ' Irregular heartbeat']"
Amitriptyline and perphenazine overdose,"['Weakness ', ' Slowed, labored breathing ', ' Eye pain in people at risk for a type of glaucoma ', ' Constipation ', ' Tremor ', ' Rapid heartbeat ', ' Rash ', ' Unpleasant taste in mouth ', ' Inability to completely empty the bladder ', ' Stiff muscles in neck, face, or back ', ' Dry mouth ', ' Itchy skin ', ' Low blood pressure (severe) ', ' Muscles are rigid ', ' Change in menstrual patterns ', ' Blurred vision ', ' Enlarged pupils ', ' Nasal congestion ', ' Loss of appetite ', ' Delirium ', ' Disorientation ', ' Muscle spasms or stiffness of the limbs ', ' Shock ', ' Uncoordinated movement ', ' Drowsiness ', ' Agitation ', ' Seizures ', ' Restlessness ', ' Nausea and vomiting ', ' No breathing ', ' Coma (decreased level of consciousness and lack of responsiveness) ', ' Lower than normal body temperature ', ' Hard to start urinating, and urine stream may be weak ', ' Irregular heartbeat']"
Amitriptyline hydrochloride overdose,"['Inability to concentrate ', ' Irregular heart rate ', ' Slowed, labored breathing ', ' Eye pain in people at risk for a type of glaucoma ', ' Cannot urinate ', ' Constipation ', ' Headache ', ' Rapid heartbeat ', ' Lack of alertness (stupor) ', ' Dry mouth ', ' Muscle rigidity or stiffness of the limbs ', ' Dilated (wide) pupils ', ' Blurred vision ', ' Hallucinations ', ' Urine does not flow easily ', ' Shock ', ' Uncoordinated movement ', ' Drowsiness ', ' Seizures ', ' Agitation ', ' Vomiting ', ' Restlessness ', ' Low blood pressure ', ' Coma']"
Ammonia poisoning,"['Severe burns if contact is longer than a few minutes ', ' Wheezing ', ' Confusion ', ' Difficulty walking ', ' Severe stomach pain ', ' Cough ', ' Chest pain (severe) ', ' Throat pain (severe) ', ' Collapse and shock ', ' Temporary blindness ', ' Chest tightness ', ' Tearing and burning of eyes ', ' Lack of coordination ', ' Dizziness ', ' Difficulty breathing ', ' Rapid, weak pulse ', ' Rapid breathing ', ' Fever ', ' Lip swelling ', ' Vomiting ', ' Restlessness ', ' Stupor (altered level of consciousness) ', ' Mouth pain ', ' Bluish-colored lips and fingernails']"
Ammonium hydroxide poisoning,"['Vision loss ', ' Burns of the esophagus (food pipe) and stomach ', ' Coughing ', ' Holes in skin tissue ', ' Irritation ', ' Throat swelling (can also cause breathing difficulty) ', ' Severe pain in the throat ', ' Burns ', ' Severe change in pH (too much or too little acid in the blood, which leads to damage in all of the body organs) ', ' Low blood pressure (develops rapidly) ', ' Wheezing ', ' Severe pain or burning in the nose, eyes, ears, lips, or tongue ', ' Blood in the stool ', ' Inability to swallow ', ' Vomiting, possibly with blood ', ' Breathing difficulty (if the ammonia is inhaled) ', ' Severe abdominal pain ', ' Collapse']"
Amniotic band sequence,"['Abnormal gap in the head or face (if it goes across the face, it is called a cleft) ', ' All or part of a finger, toe, arm or leg missing (congenital amputation) ', ' Permanent band or indentation around an arm, leg, finger, or toe ', ' Defect (cleft or hole) of the abdomen or chest wall (if band is located in those areas)']"
Amyotrophic lateral sclerosis (ALS),"['Speech problems, such as a slow or abnormal speech pattern (slurring of words) ', ' Difficulty lifting, climbing stairs, and walking ', ' Difficulty swallowing -- choking easily, drooling, or gagging ', ' Voice changes, hoarseness ', ' Muscle stiffness, called spasticity ', ' Difficulty breathing ', ' Muscle cramps ', ' Depression ', ' Head drop due to weakness of the neck muscles ', ' Muscle contractions, called fasciculations']"
Anal cancer,"['Itching ', ' A lump in or near the anus ', ' Change in bowel habits ', ' Discharge from the anus ', ' Anal pain ', ' Swollen lymph nodes in the groin or anal region']"
Analgesic nephropathy,"['Decreased urine output ', ' Fatigue, weakness ', ' Decreased sensation, numbness (especially in the legs) ', ' Nausea, vomiting ', ' Easy bruising or bleeding ', ' Decreased alertness, including drowsiness, confusion, and lethargy ', ' Flank pain or back pain ', ' Swelling (edema) throughout the body ', ' Increased urinary frequency or urgency ', ' Blood in the urine']"
Anaphylaxis,"['Abdominal pain ', ' Feeling anxious ', ' Slurred speech ', ' Nasal congestion ', ' Palpitations ', ' Difficulty swallowing ', ' Swelling of the face, eyes, or tongue ', ' Diarrhea ', ' Difficulty breathing, coughing, wheezing, or high-pitched breathing sounds ', ' Hives, itchiness, redness of the skin ', ' Chest discomfort or tightness ', ' Dizziness or lightheadedness ', ' Nausea or vomiting ', ' Unconsciousness']"
Anaplastic thyroid cancer,"['Pain ', ' Cough ', ' Lower neck lump, which often grows quickly ', ' Difficulty swallowing ', ' Overactive thyroid (hyperthyroidism) ', ' Loud breathing ', ' Hoarseness or changing voice ', ' Coughing up blood ', ' Vocal cord paralysis']"
Androgen insensitivity syndrome,"['Inguinal hernia ', ' A very small penis (micropenis) ', ' Sexual dysfunction ', ' Breast development ', ' Male breast development at the time of puberty (gynecomastia) ', ' Partial closing of the labia ', ' A small penis ', ' Little body hair ', ' A vagina but no cervix or uterus ', ' A very large clitoris ', ' The opening of the urethra is on the underside of the penis, not the tip (hypospadias) ', ' Scrotum that is split in two (bifid scrotum) ', ' A short vagina ', ' Testes in the abdomen or other unusual places in the body (undescended testicles)']"
Anemia,"['Headaches ', ' Loss of sexual desire in men ', ' Desire to eat ice or other non-food things (pica syndrome) ', ' Abnormal or increased menstrual bleeding in females ', ' Loss of appetite ', ' Problems concentrating or thinking ', ' Pale skin color ', ' Brittle nails ', ' Irritability ', ' Feeling weak or tired more often than usual, or with exercise ', ' Shortness of breath with mild activity or even at rest ', ' Lightheadedness when you stand up ', ' Mouth ulcers ', ' Blue color to the whites of the eyes ', ' Sore or inflamed tongue ', ' Numbness and tingling of hands and feet']"
Anemia caused by low iron - children,"['Act irritable ', ' Have a sore tongue ', ' Have headaches or dizziness ', ' Brittle nails ', ' Feel tired or weak all the time ', ' Crave unusual foods (pica) ', ' Pale skin ', ' Blue-tinged or very pale whites of eyes ', ' Become short of breath ', ' Eat less food']"
Anemia caused by low iron - infants and toddlers,"['Act irritable ', ' Have a sore tongue ', ' Have headaches or dizziness ', ' Pale skin color ', ' Brittle nails ', ' Blue-tinged or pale whites of eyes ', ' Feel tired or weak all the time ', ' Become short of breath ', ' Eat less food ', ' Crave unusual foods (called pica)']"
Anemia of chronic disease,"['Headache ', ' Shortness of breath ', ' Paleness ', ' Feeling weak or tired']"
Anencephaly,"['Facial feature abnormalities ', ' Absence of the skull ', ' Severe developmental delay ', ' Absence of parts of the brain']"
Aneurysm in the brain,"['Stiff neck ', ' Neck pain ', ' Headaches ', ' Problems speaking ', ' Eye pain ', ' Loss of vision ', ' Headaches with nausea or vomiting ', ' Loss of consciousness ', ' Numbness or decreased sensation in any part of the body ', ' Vision changes (double vision, loss of vision) ', ' Muscle weakness or difficulty moving any part of the body ', ' Double vision ', ' Stiff neck (occasionally) ', ' Confusion, no energy, sleepiness, stupor, or coma ', ' Eyelid drooping ', ' Ringing in the ears']"
Angelman syndrome,"['Light hair, skin, and eye color compared to rest of family ', ' Excessive movement of the hands and limbs ', ' Laughing and smiling often ', ' Unusual chewing and mouthing movements ', ' Crossed eyes ', ' Small head size compared to body, flattened back of head ', ' Trembling arm and leg movements ', ' Happy, excitable personality ', ' Walking with arms uplifted and hands waving ', ' Severe intellectual disability ', ' Little or no speech ', ' Loss of muscle tone (floppiness) ', ' Unstable or jerky walking ', ' Trouble feeding ', ' Heartburn (acid reflux) ', ' Sleep problems ', ' Seizures ', ' Tongue thrusting, drooling']"
Angiodysplasia of the colon,"['Shortness of breath due to anemia ', ' Fatigue ', ' Weakness']"
Angioedema,"['Swollen lining of the eyes (chemosis) ', ' Swollen eyes and mouth ', ' Abdominal cramping ', ' Breathing difficulty']"
Animal bites - self-care,"['Crushing injuries that can cause severe tissue tears and scarring ', ' Tendon or joint injury resulting in decreased motion and function of the injured tissue ', ' Bruising (discoloration of the skin) ', ' Puncture wounds ', ' Breaks or major cuts in the skin, with or without bleeding']"
Ankle fracture - aftercare,"['Check with your provider about taking anti-inflammatory medicines like Ibuprofen or Naprosyn after fracture. Sometimes, they will not want you to take the medicines as it can affect healing. ', ' Apply an ice pack 20 minutes of every hour, you are awake, for the first 2 days ', ' Not give aspirin to children. ', ' After 2 days, use the ice pack for 10 to 20 minutes, 3 times a day as needed ', ' Sit with your foot elevated higher than your knee at least 4 times a day ', ' Not use these medicines for the first 24 hours after your injury. They may increase the risk of bleeding. ', ' Not take more than the amount recommended on the bottle or more than your provider advises you to take. ', ' Talk with your provider before using these medicines if you have heart disease, high blood pressure, kidney disease, or have had stomach ulcers or internal bleeding in the past.']"
Ankylosing spondylitis,"['Slight fever ', ' Your lower spine may become less flexible. Over time, you may stand in a hunched forward position. ', ' The joints of the shoulders, knees and ankles, which may be swollen and painful ', ' Recurring or chronic eye inflammation (iritis, uveitis) ', ' Psoriasis ', ' Pain and stiffness are worse at night, in the morning, or when you are less active. The discomfort may wake you from sleep. ', ' The eye, which may have swelling and redness called uveitis ', ' The joints between your ribs and breastbone, so that you cannot expand your chest fully ', ' The pain often gets better with activity or exercise. ', ' Back pain may begin in the joint between the pelvis and spine (sacroiliac joints). Over time, it may involve all or part of the spine. ', ' Ulcerative colitis or Crohn disease']"
Annular pancreas,"['Fullness after eating ', ' Nausea or vomiting']"
Anomalous left coronary artery from the pulmonary artery,"['Symptoms of pain or distress in the baby (often mistaken for colic) ', ' Irritability ', ' Poor feeding ', ' Pale skin ', ' Rapid breathing ', ' Crying or sweating during feeding']"
Anorchia,"['Failure to start puberty at the correct time ', ' Normal outside genitals before puberty']"
Anorectal abscess,"['Discharge of pus from the rectum ', ' Constipation ', ' Fatigue, fever, night sweats, and chills ', ' Redness, painful and hardened tissue in the area of the anus ', ' Tenderness']"
Anorexia,"['Refusing to eat around other people ', ' Going to the bathroom right after meals ', ' Cutting food into small pieces or moving them around the plate instead of eating ', ' Dry mouth ', ' Extreme sensitivity to cold (wearing several layers of clothing to stay warm) ', ' Exercising all the time, even when the weather is bad, they are hurt, or their schedule is busy ', ' Using pills to make themselves urinate (water pills, or diuretics), have a bowel movement (enemas and laxatives), or decrease their appetite (diet pills) ', ' Has an intense fear of gaining weight or becoming fat, even when underweight. ', ' Has a body image that is very distorted, is very focused on body weight or shape, and refuse to admit the danger of weight loss. ', ' Confused or slow thinking, along with poor memory or judgment ', ' Depression ', ' Wasting away of muscle and loss of body fat ', ' Thinning of the bones (osteoporosis) ', ' Refuses to keep their weight at what is considered normal for their age and height (15% or more below the normal weight). ', ' Blotchy or yellow skin that is dry and covered with fine hair']"
